Ticker,"Name
","Fund Asset Class Focus
","Fund Market Cap Focus
",Strategy,"Fund Industry Focus
","Fund Geographical Focus
","Maturity Band
","Fund Rating Class Focus
",Expense Ratio,Actively Managed?,,ARKK,ARK INNOVATION ETF,Equity,Broad Market,Blend,N.A.,United States,N.A.,N.A.,0.75,Y
,,,,,,,,,,,,USMV,ISHARES MSCI USA MIN VOL FAC,Equity,Large-cap,Blend,N.A.,United States,N.A.,N.A.,0.15,N
,,,,,,,,,,,,MTUM,ISHARES MSCI USA MOMENTUM FA,Equity,Large-cap,Growth,N.A.,United States,N.A.,N.A.,0.15,N
,,,,,,,,,,,,QUAL,ISHARES MSCI USA QUALITY FAC,Equity,Large-cap,Blend,N.A.,United States,N.A.,N.A.,0.15,N
,,,,,,,,,,,,IWF,ISHARES RUSSELL 1000 GROWTH,Equity,Large-cap,Growth,N.A.,United States,N.A.,N.A.,0.18,N
,,,,,,,,,,,,IWD,ISHARES RUSSELL 1000 VALUE E,Equity,Large-cap,Value,N.A.,United States,N.A.,N.A.,0.18,N
,,,,,,,,,,,,IWM,ISHARES RUSSELL 2000 ETF,Equity,Small-cap,Blend,N.A.,United States,N.A.,N.A.,0.19,N
,,,,,,,,,,,,ESGD,ISHARES TRUST ISHARES ESG AW,Equity,Large-cap,Blend,N.A.,International,N.A.,N.A.,0.2,N
,,,,,,,,,,,,ITA,ISHARES U.S. AEROSPACE & DEF,Equity,Broad Market,Blend,Industrials,United States,N.A.,N.A.,0.39,N
,,,,,,,,,,,,IYW,ISHARES USTECHNOLOGY ETF,Equity,Large-cap,Growth,Technology,United States,N.A.,N.A.,0.39,N
,,,,,,,,,,,,BBCA,JPMORGAN BETABUILDERS CANADA,Equity,Broad Market,Blend,N.A.,Canada,N.A.,N.A.,0.19,N
,,,,,,,,,,,,JEPI,JPMORGAN EQUITY PREMIUM INCO,Equity,Broad Market,Value,N.A.,United States,N.A.,N.A.,0.35,Y
,,,,,,,,,,,,COWZ,PACER US CASH COWS 100 ETF,Equity,Broad Market,Value,N.A.,United States,N.A.,N.A.,0.49,N
,,,,,,,,,,,,NOBL,PROSHARES S&P 500 DIVIDEND A,Equity,Large-cap,Value,N.A.,United States,N.A.,N.A.,0.35,N
,,,,,,,,,,,,IPO,RENAISSANCE IPO ETF,Equity,Broad Market,Growth,Thematic,United States,N.A.,N.A.,0.6,N
,,,,,,,,,,,,SCHD,SCHWAB US DVD EQUITY ETF,Equity,Large-cap,Value,N.A.,United States,N.A.,N.A.,0.06,N
,,,,,,,,,,,,SPY,SPDR S&P 500 ETF TRUST,Equity,Large-cap,Blend,N.A.,United States,N.A.,N.A.,0.094,N
,,,,,,,,,,,,XLK,TECHNOLOGY SELECT SECT SPDR,Equity,Large-cap,Growth,Technology,United States,N.A.,N.A.,0.1,N
,,,,,,,,,,,,XLU,UTILITIES SELECT SECTOR SPDR FUND,Equity,Broad Market,Blend,Utilities,United States,N.A.,N.A.,0.1,N
,,,,,,,,,,,,MOAT,VANECK MORNINGSTAR WIDE MOAT,Equity,Large-cap,Blend,N.A.,United States,N.A.,N.A.,0.46,N
,,,,,,,,,,,,SMH,VANECK SEMICONDUCTOR ETF,Equity,Large-cap,Growth,Technology,United States,N.A.,N.A.,0.35,N
,,,,,,,,,,,,VIG,VANGUARD DIVIDEND APPREC ETF,Equity,Large-cap,Value,N.A.,United States,N.A.,N.A.,0.06,N
